mu sigma
3.2571217257129743 4.177350621253718
2.6271901629211065 4.427442408734286
3.049925149174274 4.0794225853099615
3.077095315925185 4.571351642524856
3.2373135468950776 4.496721645751531
2.6052865359759614 4.363094374265787
3.2284929348132074 4.158027260247481
2.648798692999457 4.207733274073959
3.0138320286838742 4.076715362894584
3.3172128568697357 4.365122214916027
2.8598855904416145 4.569003168780501
2.770386567579391 4.117116169895116
2.8247984609468704 4.096929905713513
2.8806342443757753 4.083983916944275
2.9604342551279386 4.578435382474796
3.200021502394103 4.142507366136797
2.6096829150026215 4.32630133186775
